Strategy,Asset,Asset Type,Timeframe,Initial Capital,Final Capital,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Trades
Transformer,SOL-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,ADA-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,ADA-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,ADA-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LLM,ADA-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,ADA-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,DOT-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,DOT-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,DOT-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LLM,DOT-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,DOT-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
